Physical Anthropology,Isabelle De Groote,5,A005436
Archeologische onderzoekstutorial: Archeologie van het Oude Nabije Oosten en de Phoenicisch-Punische wereld,Peter Vandenabeele,5,A005437
Masterproef,Hans Vandendriessche,20,A005439
Masterproef,Hans Vandendriessche,29,A005440
Tekstanalyse van Latijnse bronnen,Matthijs Zoeter,5,A005442
Logica en argumentatie,Joke Meheus,5,A005443
Integratieseminarie moraalwetenschap,Heidi Mertes,5,A005444
Sociologie van de moraal,Tom Claes,5,A005445
Sloveens I,Dieter Stern,10,A005447
Inleiding tot Oost-Europa,Aleksey Yudin,5,A005448
Slavische filologie,Dieter Stern,4,A005449
Overzicht van de Russische literatuur,Ben Dhooge,5,A005450
Methodologie II,Dieter Stern,3,A005452
Inleiding tot de geschiedenis van islamitisch West-Azië (600-1800),Jo Van Steenbergen,5,A005455
Study Abroad Project,Ben Dhooge,5,A005460
Bulgaars IV,Dieter Stern,6,A005461
Bosnisch/Kroatisch/Servisch IV,Pieter Troch,6,A005462
Sloveens IV,Dieter Stern,6,A005463
Bosnisch/Kroatisch/Servisch I,Pieter Troch,10,A005465
Bulgaars I,Dieter Stern,10,A005466
Introduction to Islam and Being Muslim,Lisa Franke,5,A005467
Summer School,Ben Dhooge,5,A005468
Geschiedenis van Zuid-Azië,Tine Vekemans,5,A005471
Oudslavisch ,Dieter Stern,4,A005472
Oudslavisch in linguïstisch perspectief,Dieter Stern,4,A005473
Arabische taalverwerving: Media en Egyptisch I,Jo Van Steenbergen,8,A005475
Arabische taalverwerving: Media en Egyptisch II,Jo Van Steenbergen,7,A005476
Introduction to the Anthropology of the Middle East and North Africa,Aymon Kreil,5,A005480
Overlevering van Oudgriekse teksten,Floris Bernard,5,A005481
Gevorderd Portugees II,Renata Enghels,5,A005483
Gevorderd Portugees I,Renata Enghels,5,A005484
Onderzoeksvaardigheden I,Koenraad Jonckheere,5,A005485
Onderzoeksvaardigheden II,Marjan Sterckx,5,A005486
Inleiding tot de theaterwetenschappen,Bram Van Oostveldt,5,A005487
Structures in Spoken Language,Claudia Crocco,6,A005490
"Empirical Translation Studies: Concepts, Theories and Methods",Jelena Vranjes,6,A005491
Context en nuance. Kritisch reflecteren over actuele thema’s,July De Wilde,6,A005503
Moderne Russische cultuurgeschiedenis,Ben Dhooge,4,A005506
Moderne Zuidoost-Europese cultuurgeschiedenis,Pieter Troch,4,A005507
Intersectionaliteits- en diversiteitsstudies,Chia Longman,5,A005521
Feminist Anthropology,Chia Longman,5,A005525
Gender- en diversiteitsstudies,Carine Plancke,5,A005530
Onderzoeksseminarie: economische en ecologische geschiedenis,Sander Govaerts,5,A005533
Low Countries Studies,Lieve Van Hoof,3,A005539
Vergelijkende religiestudies,Jakob De Roover,5,A005548
Diversiteit en inclusie in onderwijs,Wendelien Vantieghem,5,A005549
Korte stage,Chia Longman,5,A005550
Lange stage,Chia Longman,10,A005551
Onderzoeksproject,Dieter Stern,3,A005553
Onderzoeksstage,Ben Dhooge,7,A005554
Slavische taalsociologie en -geschiedenis ,Dieter Stern,5,A005555
Politics of Memory in Southeast Europe,Pieter Troch,5,A005556
Onderzoeksseminarie Slavistiek en Oost-Europakunde,Ben Dhooge,5,A005558
Project,Pieter Troch,5,A005562
World Literature and Globalisation,Caroline Janssen,5,A005564
Comics and Graphic Novels,Giorgio Busi Rizzi,5,A005565
Literatuur en zorg,Jurgen Pieters,5,A005566
Global Minds,Ines Keygnaert,5,A005569
Buitenlandtraject,Christoph Anderl,30,A005570
Masterproefseminarie,Bart Dessein,10,A005571
Masterproef,Bart Dessein,20,A005572
Comparative Bantu Grammar,Sebastian Dom,5,A005573
Arabische taal- en tekststructuren: historisch denken,Jo Van Steenbergen,8,A005575
Stage,Marlies Jansegers,10,A005577
Archeobotanie en statistiek,Isabelle De Groote,3,A005578
Academische vaardigheden III: Bachelorproef,Hans Vandendriessche,10,A005580
Art Policy and Museum Studies,Jasper Delbecke,5,A005583
Developing and Writing Research Proposals in Philosophy,Erik Weber,9,A005584
Masterproef,Bart Dessein,20,A005600
Empirical Ethics,Veerle Provoost,9,A005602
Bio-Ethics,Heidi Mertes,9,A005604
Logic,Pawel Pawlowski,9,A005607
Philosophy of Biomedical and Social Sciences,Erik Weber,9,A005608
Philosophical Anthropology,Bouke De Vries,9,A005612
Contemporary Continental Philosophy,Gertrudis Van de Vijver,9,A005613
History and Reception of Ancient and Medieval Philosophy and Religion,Danny Praet,9,A005615
Kant and Post-Kantian Philosophy,Bart Vandenabeele,9,A005618
Non-invasive Prospection Techniques in Archaeology,Philippe De Smedt,5,A005620
Belgische letterkunde,Yves T'Sjoen,5,A005624
Inleiding tot de godsdienstwetenschappen,Annelies Lannoy,5,A005628
Inleiding tot de literatuurstudie,Jurgen Pieters,3,A005634
Inleiding tot erfgoed,Anna Tummers,5,A005635
Fashion and Textiles,Maude Bass-Krueger,5,A005636
Muziek en sociale actie,An De bisschop,5,A005637
Geschiedenis van het Westerse theater vanaf de Oudheid tot 1850,Bram Van Oostveldt,5,A005638
Kunsteconomie,Koenraad Jonckheere,5,A005639
Stage,Marjan Sterckx,5,A005640
